phase,variant_name,route_length,recurrence_setting,plasticity_setting,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_table_accuracy_mean,route_table_accuracy_std,route_table_accuracy_count,transition_accuracy_mean,transition_accuracy_std,transition_accuracy_count,structure_transition_accuracy_mean,structure_transition_accuracy_std,structure_transition_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,route_margin_mean,route_margin_std,route_margin_count,world_margin_mean,world_margin_std,world_margin_count,mode_margin_mean,mode_margin_std,mode_margin_count,wrong_route_activation_mean,wrong_route_activation_std,wrong_route_activation_count,wrong_world_activation_mean,wrong_world_activation_std,wrong_world_activation_count,wrong_mode_activation_mean,wrong_mode_activation_std,wrong_mode_activation_count,structural_wrong_world_activation_mean,structural_wrong_world_activation_std,structural_wrong_world_activation_count,context_confusion_mean,context_confusion_std,context_confusion_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,lesion_sensitivity_mean,lesion_sensitivity_std,lesion_sensitivity_count,route_table_lesion_sensitivity_mean,route_table_lesion_sensitivity_std,route_table_lesion_sensitivity_count
variant_comparison,exp13_1_no_context_binding,12,train_and_eval,live_structural,0.045182291666666666,0.004284871128593408,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.31962890625,0.006601731158766117,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_context_binding,16,train_and_eval,live_structural,0.0462890625,0.003729064549843592,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.3185221354166667,0.005706627039706005,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,1,eval_disabled_only,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,2,eval_disabled_only,live_structural,0.0009982638888888888,0.0008577143525764621,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9990017361111111,0.0008577143525764378,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.5,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,4,eval_disabled_only,live_structural,0.03936631944444444,0.005030348536355519,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9606336805555555,0.005030348536355513,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.25,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,8,eval_disabled_only,live_structural,0.04019097222222222,0.004072515394674838,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9598090277777779,0.004072515394674846,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.125,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,12,eval_disabled_only,live_structural,0.041276041666666666,0.003170420505288297,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9587239583333333,0.0031704205052883,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.08333333333333333,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_at_eval,16,eval_disabled_only,live_structural,0.04095052083333333,0.0030731560630887288,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9590494791666666,0.0030731560630887678,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.0625,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,1,disabled_throughout,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,2,disabled_throughout,live_structural,0.0009982638888888888,0.0008577143525764621,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9990017361111111,0.0008577143525764378,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.5,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,4,disabled_throughout,live_structural,0.03936631944444444,0.005030348536355519,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9606336805555555,0.005030348536355513,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.25,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,8,disabled_throughout,live_structural,0.04019097222222222,0.004072515394674838,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9598090277777779,0.004072515394674846,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.125,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,12,disabled_throughout,live_structural,0.041276041666666666,0.003170420505288297,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9587239583333333,0.0031704205052883,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.08333333333333333,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_recurrence_throughout,16,disabled_throughout,live_structural,0.04095052083333333,0.0030731560630887288,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.9590494791666666,0.0030731560630887678,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,0.0625,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_structural_plasticity,1,train_and_eval,no_structural_plasticity,0.03101128472222222,0.005119000810707332,20,0.03077799479166667,0.0033238295544341023,20,0.03077799479166667,0.0033238295544341023,20,0.0,0.0,20,-0.00023328993055555524,0.0031725453556650705,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_structural_plasticity,2,train_and_eval,no_structural_plasticity,0.03326822916666667,0.0044957422961737735,20,0.03077799479166667,0.0033238295544341023,20,0.03077799479166667,0.0033238295544341023,20,0.0,0.0,20,-0.002490234375,0.0062967963972004075,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_structural_plasticity,4,train_and_eval,no_structural_plasticity,0.03161892361111111,0.004608994688388719,20,0.03077799479166667,0.0033238295544341023,20,0.03077799479166667,0.0033238295544341023,20,0.0,0.0,20,-0.0008409288194444441,0.005427274305958921,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20
