phase,variant,variant_family,world_count,route_length,capacity_condition,context_slots,capacity_ratio,retention_world,world_age_from_end,seed_count,row_count,route_table_accuracy_all_mean,route_table_accuracy_all_std,route_table_accuracy_all_ci95_low,route_table_accuracy_all_ci95_high,route_table_accuracy_all_n,composition_accuracy_seen_routes_mean,composition_accuracy_seen_routes_std,composition_accuracy_seen_routes_ci95_low,composition_accuracy_seen_routes_ci95_high,composition_accuracy_seen_routes_n,composition_accuracy_suffix_routes_mean,composition_accuracy_suffix_routes_std,composition_accuracy_suffix_routes_ci95_low,composition_accuracy_suffix_routes_ci95_high,composition_accuracy_suffix_routes_n,first_step_context_accuracy_mean,first_step_context_accuracy_std,first_step_context_accuracy_ci95_low,first_step_context_accuracy_ci95_high,first_step_context_accuracy_n,suffix_generalization_gap_mean,suffix_generalization_gap_std,suffix_generalization_gap_ci95_low,suffix_generalization_gap_ci95_high,suffix_generalization_gap_n,route_table_composition_gap_seen_mean,route_table_composition_gap_seen_std,route_table_composition_gap_seen_ci95_low,route_table_composition_gap_seen_ci95_high,route_table_composition_gap_seen_n,route_table_composition_gap_suffix_mean,route_table_composition_gap_suffix_std,route_table_composition_gap_suffix_ci95_low,route_table_composition_gap_suffix_ci95_high,route_table_composition_gap_suffix_n,capacity_used_mean,capacity_used_std,capacity_used_ci95_low,capacity_used_ci95_high,capacity_used_n,evictions_mean,evictions_std,evictions_ci95_low,evictions_ci95_high,evictions_n,hash_collisions_mean,hash_collisions_std,hash_collisions_ci95_low,hash_collisions_ci95_high,hash_collisions_n
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,8,8,none,,,,,20,20,0.0009440104166666666,0.0007460488389126719,0.0006170400966713358,0.0012709807366619974,20,0.0005208333333333333,0.0016030911751330533,-0.00018175235164526204,0.0012234190183119287,20,0.0006076388888888889,0.0007504381300960221,0.00027874487721559176,0.000936532900562186,20,0.0010416666666666667,0.002137454900177404,0.00010488575336187298,0.00197844757997146,20,-8.680555555555557e-05,0.0019491868597937096,-0.0009410743621477805,0.0007674632510366693,20,0.0004231770833333333,0.0019505534057313574,-0.0004316906384226391,0.0012780448050893057,20,0.0003363715277777777,0.001147195782424348,-0.00016640919181059476,0.0008391522473661503,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,8,12,none,,,,,20,20,0.0004991319444444445,0.00032342006092473725,0.00035738685310753666,0.0006408770357813524,20,0.0005208333333333333,0.0016030911751330533,-0.00018175235164526204,0.0012234190183119287,20,0.00036458333333333335,0.0004502628780576133,0.00016724692632935506,0.0005619197403373117,20,0.0,0.0,0.0,0.0,20,0.00015624999999999995,0.001781123353967036,-0.0006243617275734116,0.0009368617275734114,20,-2.1701388888888846e-05,0.0015836458485794073,-0.0007157647837518319,0.0006723620059740543,20,0.00013454861111111108,0.0005347161404586926,-9.98010700803535e-05,0.0003688982923025757,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,8,16,none,,,,,20,20,0.0004720052083333334,0.00037302441945633594,0.000308520048335668,0.0006354903683309988,20,0.00026041666666666666,0.0011646187382811405,-0.00024999999999999995,0.0007708333333333332,20,0.0003720238095238095,0.0004003181449769124,0.00019657664690399105,0.000547470972143628,20,0.0,0.0,0.0,0.0,20,-0.00011160714285714281,0.0012314996641304096,-0.0006513356676568388,0.00042812138194255327,20,0.00021158854166666665,0.0012553061137366905,-0.0003385736196990525,0.0007617507030323858,20,9.99813988095238e-05,0.0005471762373390248,-0.00013982916061354932,0.00033979195823259694,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,16,4,none,,,,,20,20,0.0007486979166666666,0.0005291195969318027,0.0005168010288211739,0.0009805948045121594,20,0.00026041666666666666,0.0008015455875665267,-9.087617582263102e-05,0.0006117095091559643,20,0.0012369791666666664,0.0008936624233766401,0.000845314340855623,0.0016286439924777098,20,0.000390625,0.0009540300743034459,-2.749711534944931e-05,0.0008087471153494494,20,-0.0009765624999999998,0.001327533623068155,-0.0015583797630250073,-0.0003947452369749923,20,0.0004882812499999999,0.0009879182595489647,5.5306982625305805e-05,0.000921255517374694,20,-0.0004882812499999999,0.0010320926179981519,-0.0009406157835722395,-3.5946716427760186e-05,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,16,8,none,,,,,20,20,0.0005371093749999999,0.00032164288221617324,0.0003961431665735929,0.000678075583426407,20,0.00026041666666666666,0.0008015455875665267,-9.087617582263102e-05,0.0006117095091559643,20,0.0005425347222222222,0.0005052767808980871,0.0003210874092323058,0.0007639820352121386,20,0.0,0.0,0.0,0.0,20,-0.0002821180555555556,0.0008481241566598932,-0.0006538248560151911,8.958874490408003e-05,20,0.0002766927083333333,0.0008790331495458533,-0.00010856055553127886,0.0006619459721979456,20,-5.425347222222208e-06,0.0006380385096583696,-0.00028505805327454117,0.00027420735883009677,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,16,12,none,,,,,20,20,0.0002170138888888889,0.00017246515065951092,0.00014142770396650473,0.0002926000738112731,20,0.00026041666666666666,0.0008015455875665267,-9.087617582263102e-05,0.0006117095091559643,20,0.00020833333333333332,0.00019994059790362354,0.00012070550273194031,0.00029596116393472633,20,0.0005208333333333333,0.001068727450088702,5.244287668093649e-05,0.00098922378998573,20,5.2083333333333343e-05,0.0008516356381891954,-0.0003211624417609482,0.0004253291084276149,20,-4.340277777777776e-05,0.0007438028262727596,-0.0003693887393326397,0.00028258318377708414,20,8.680555555555549e-06,0.00028568892550966937,-0.00011652813658470937,0.00013388924769582047,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,16,16,none,,,,,20,20,0.000146484375,0.00015753679061637158,7.744083233602986e-05,0.00021552791766397012,20,0.000390625,0.0009540300743034459,-2.749711534944931e-05,0.0008087471153494494,20,0.00015811011904761906,0.00015117702769480078,9.185386537747826e-05,0.00022436637271775985,20,0.0,0.0,0.0,0.0,20,0.0002325148809523809,0.0009539823525179422,-0.0001855863194024152,0.000650616081307177,20,-0.000244140625,0.0010054048960308304,-0.0006847787487174648,0.0001964974987174648,20,-1.1625744047619052e-05,0.0001976556444980482,-9.825214966551598e-05,7.500066157027788e-05,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,32,4,none,,,,,20,20,0.0004720052083333334,0.00038768712008878934,0.0003020938364474806,0.0006419165802191863,20,0.000390625,0.0007438028262727596,6.46390384451381e-05,0.0007166109615548619,20,0.0005859375,0.0006973651345882782,0.00028030375416877477,0.0008915712458312252,20,0.0,0.0,0.0,0.0,20,-0.00019531249999999998,0.0010791137723693018,-0.0006682549630929026,0.0002776299630929027,20,8.138020833333334e-05,0.0008828316540222741,-0.0003055378235188132,0.0004682982401854799,20,-0.00011393229166666663,0.0007852019358053453,-0.00045806221295360155,0.00023019762962026827,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,32,8,none,,,,,20,20,0.00018717447916666665,0.00016926918595267868,0.00011298898753456322,0.0002613599707987701,20,6.510416666666667e-05,0.00029115468457028513,-6.249999999999999e-05,0.0001927083333333333,20,0.00018446180555555555,0.0002144285881441155,9.04843332712842e-05,0.0002784392778398269,20,0.0,0.0,0.0,0.0,20,-0.00011935763888888887,0.0003107166029356847,-0.00025553519428568117,1.6819916507903454e-05,20,0.0001220703125,0.00026861308799813516,4.34543611564723e-06,0.00023979518888435277,20,2.712673611111115e-06,0.00025597364482063157,-0.00010947272256128343,0.00011489806978350566,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,32,12,none,,,,,20,20,0.0001953125,0.00011990153026325577,0.00014276333743412195,0.0002478616625658781,20,0.00013020833333333333,0.0004007727937832633,-4.543808791131551e-05,0.0003058547545779822,20,7.8125e-05,0.00010687274500887022,3.1285954334760315e-05,0.0001249640456652397,20,0.0005208333333333333,0.0006544592317057743,0.0002340039285364395,0.0008076627381302271,20,5.208333333333332e-05,0.0003971943936291264,-0.00012199478489622771,0.00022616145156289434,20,6.510416666666668e-05,0.00044585938562501825,-0.00013030232468744463,0.000260510658020778,20,0.00011718750000000002,0.00016786214236855806,4.361867240777073e-05,0.00019075632759222932,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
